Store,Container_404,Bad_Subs,Nil_Pick
7021,39,8,213
7384,29,11,210
8401,23,15,215
6687,25,4,223
7771,33,6,229
5371,27,12,232
4978,31,7,257
7516,30,13,229
4832,16,11,231
7319,35,9,226
5583,34,9,238
4125,38,10,233
8014,37,8,280
9904,33,16,219
4731,29,5,207
6926,6,6,241
7254,24,13,208
9097,47,18,181
8488,42,1,200
4552,30,11,245
6199,18,4,252
9366,27,11,205
6950,32,5,248
8281,26,13,265
8202,29,12,221
6824,24,13,222
8771,23,11,247
5636,33,11,223
8922,23,6,217
7352,31,9,261
9026,24,13,264
6178,38,11,222
4771,43,9,257
9373,40,12,268
5319,51,10,231
7187,30,5,227
6297,38,13,208
7583,29,6,213
9118,32,9,243
6195,34,14,240
9723,23,5,229
4518,35,9,224
4313,24,11,208
5303,20,9,230
5518,38,11,282
8692,28,7,225
6796,37,11,242
8796,26,11,264
6207,29,8,219
5277,43,12,222
4195,18,8,235
7386,34,9,239
4761,28,12,205
8754,33,8,265
7964,36,13,236
6231,18,8,208
4541,22,6,227
4579,33,7,222
4826,44,8,270
9553,42,13,284
9189,42,10,252
5847,34,13,210
9370,18,6,233
8265,40,14,266
9560,36,7,277
7790,25,4,199
7687,35,11,230
7639,42,8,232
6177,37,10,240
5927,27,12,243
4674,31,4,236
8366,36,11,250
7526,33,12,223
8574,21,9,225
7407,33,10,226
5004,32,10,208
5171,40,9,250
6674,41,10,267
4231,31,10,205
7348,47,11,213
5420,41,14,240
7384,45,13,252
4719,30,11,280
5800,33,10,230
9928,23,12,252
9147,32,9,227
7254,36,11,240
4009,39,4,250
9424,39,13,199
4330,24,16,187
4432,23,6,224
5987,40,12,212
9388,32,15,225
6033,35,10,210
4337,43,11,251
9121,56,11,220
4136,46,12,253
4400,38,13,225
4637,24,13,228
6648,35,7,227
9720,30,12,260
9613,35,10,231
5160,26,7,228
4727,37,10,264
6103,35,12,242
8138,36,12,241
7019,25,10,215
9916,27,11,224
5607,39,8,231
8861,21,12,254
9756,39,9,232
7123,29,7,217
6275,23,11,227
9782,34,11,204
8833,27,13,213
9718,46,15,209
9694,21,8,201
5985,33,11,244
4067,42,14,233
4104,49,13,256
7586,29,15,212
9090,35,4,212
7946,23,9,220
5952,40,7,263
8979,30,11,234
9633,23,10,267
9900,37,5,243
4099,38,6,242
4017,22,10,246
9046,20,8,251
8373,32,12,203
7924,24,12,216
5009,33,10,208
6480,21,12,227
9345,23,12,247
7530,32,9,222
9519,42,10,234
9623,36,9,231
8850,47,9,235
5100,35,9,228
5702,47,10,234
5171,28,11,244
7248,41,13,219
9946,37,5,251
8526,33,9,222
7755,37,14,229
5409,30,10,223
8346,18,11,241
5462,46,9,212
8268,27,12,244
4322,35,11,253
9771,46,11,249
5682,31,6,237
5747,35,9,242
6383,32,7,220
8469,28,11,252
4672,28,8,204
4046,30,9,221
7428,35,10,212
6559,32,11,221
5382,26,13,230
5753,37,11,249
4162,32,10,224
6793,28,14,244
4586,34,16,251
5295,31,10,229
5045,32,7,262
7357,28,13,235
4776,41,11,244
9817,34,9,256
7713,39,11,267
4550,25,10,242
4682,27,10,217
7681,43,14,218
9568,29,8,228
7535,37,9,264
8707,17,10,241
8256,36,7,222
6919,32,8,224
4439,15,8,250
8833,16,9,261
5234,29,10,216
6739,34,11,265
6292,29,10,204
5948,38,7,239
4584,23,8,217
8022,28,9,242
5167,25,15,236
7186,31,10,235
5485,19,10,238
9549,31,7,222
7125,33,16,233
5008,24,9,214
8071,24,9,232
6122,43,9,194
5626,27,11,244
8983,38,3,241
6036,14,12,193
8669,33,8,231
7689,32,9,225
8314,41,12,257
9494,37,13,229
4055,23,13,246
9138,34,11,258
5818,30,6,246
9541,29,8,275
9359,40,8,257
4149,36,9,256
8615,26,12,236
5196,28,10,250
8555,30,9,244
4333,30,14,231
9051,45,10,275
4274,33,10,239
4814,32,4,222
9484,31,15,224
6755,33,7,248
4126,34,6,215
8208,34,9,231
8841,28,9,237
6989,30,12,200
9139,34,6,197
5584,33,8,241
4049,38,7,228
9554,26,7,218
6989,39,8,235
5210,36,9,213
9424,24,11,241
9070,44,11,231
5832,21,5,198
8917,26,9,209
9803,22,10,215
6916,34,13,209
8207,29,18,230
5440,29,10,247
4787,25,12,220
6995,33,11,263
8462,16,9,218
9791,30,10,213
9415,33,7,204
6125,44,7,245
8413,32,15,233
5775,37,8,221
5386,38,12,237
4409,27,9,237
7955,32,10,238
5757,34,13,232
8383,27,12,268
6262,38,11,218
5523,37,14,221
7476,37,14,253
4638,30,15,251
8052,44,9,205
4987,40,6,243
6900,34,12,232
6907,18,6,228
7127,21,13,270
8908,35,9,225
7121,27,7,232
6920,32,10,261
9410,34,8,244
4206,24,9,237
4575,31,13,237
4205,28,10,231
8487,36,8,239
9903,40,13,233
6956,32,11,244
4244,32,11,216
6150,16,5,209
4578,15,13,228
8988,26,12,226
8724,30,12,226
5694,26,12,257
8259,34,14,216
9705,45,12,242
8388,33,11,249
4071,37,11,245
9792,39,10,222
6165,24,5,246
7922,37,12,231
6476,31,14,226
8996,49,10,218
7150,27,4,239
4398,31,10,288
5880,34,13,239
8973,43,7,222
4637,30,15,186
7433,29,11,187
6406,30,10,209
9464,24,5,225
7404,30,4,244
4669,24,13,232
6405,41,9,213
8878,32,8,240
7306,38,4,226
9504,36,13,261
4945,30,12,220
5120,49,5,232
7000,33,11,251
9752,52,6,205
4073,42,13,200
4164,31,10,219
8154,42,10,259
9841,36,9,239
6054,32,5,217
7707,18,18,247
8986,32,6,228
7928,29,9,245
5778,32,10,234
8657,24,14,241
7062,25,7,229
7608,33,6,244
4334,33,10,208
9146,40,8,237
6537,26,14,252
8947,48,10,228
6855,24,5,209
8759,38,7,222
9427,39,8,214
9933,33,11,259
8932,26,6,239
8380,20,11,259
5344,34,13,178
5673,37,8,244
7134,36,12,253
9774,19,12,210
7748,24,7,235
4643,40,11,226
8266,32,14,234
8980,36,11,218
5027,47,8,251
9046,31,9,254
5991,40,9,217
5191,47,5,219
4626,37,13,240
4296,30,13,230
5468,27,12,224
6099,34,10,211
5502,31,15,258
8481,30,11,225
4968,17,8,244
6307,20,12,218
6102,44,9,241
9101,49,12,242
5953,36,7,224
7744,32,5,258
7593,35,8,236
7708,37,5,269
5574,35,11,238
7927,43,9,248
8840,34,13,268
8752,17,13,204
7642,28,6,254
6121,28,7,224
5426,27,13,254
8418,21,12,250
5038,23,18,234
4546,38,7,237
4845,24,10,219
6459,22,6,248
6946,30,10,228
9203,42,11,280
7567,32,10,173
5621,22,11,235
4644,30,8,229
5901,27,14,197
6878,18,12,244
8563,17,10,222
5625,30,6,198
5956,25,9,242
5467,42,8,259
9098,34,6,228
9920,38,14,224
9643,26,6,212
8053,19,6,216
9889,34,8,233
4815,41,14,249
4146,25,6,238
4187,33,8,226
9494,44,12,251
6449,38,8,251
8823,35,15,194
4191,44,4,274
4530,24,5,236
8678,46,13,222
9678,39,10,239
8425,25,10,232
8195,23,12,225
5201,19,14,232
5554,21,15,249
7903,25,10,271
5843,34,14,231
8290,7,15,255
6597,42,5,223
8562,30,12,218
8162,46,11,198
5740,34,11,240
8572,37,13,247
9656,28,10,207
4743,33,11,215
7199,30,12,267
7033,28,4,244
4167,23,11,229
4468,30,10,217
9952,24,14,229
6114,43,9,248
7659,28,6,202
9807,44,17,239
6581,40,7,243
9573,29,8,235
4532,27,14,268
8180,37,15,234
5824,55,12,239
9299,34,20,210
8177,28,12,242
5810,23,7,214
5136,26,8,217
6990,33,6,229
6463,38,9,206
8325,37,12,256
6377,24,9,244
5070,38,8,271
5665,36,13,192
7111,24,15,239
6256,38,1,263
9337,23,10,266
4139,28,9,250
5330,29,8,225
5036,31,5,222
4577,25,5,241
8204,36,10,243
6693,43,6,230
9852,40,12,249
7585,30,10,204
4111,32,10,240
9710,38,11,250
4963,37,11,268
8314,36,12,233
6696,29,12,242
5614,33,10,223
8817,19,10,224
7475,44,14,224
6843,27,11,243
6486,24,8,250
7623,38,8,263
6057,32,11,238
7528,16,8,224
6310,32,8,218
5422,29,6,224
5581,23,11,252
4525,33,12,227
4331,36,14,225
9108,36,10,219
9932,41,14,209
9092,21,9,249
9623,41,4,237
7727,40,11,239
8863,32,14,244
6562,37,14,196
6535,28,17,244
9702,31,14,238
4850,33,11,227
6415,35,5,204
5894,38,7,252
6790,48,10,213
7072,38,13,244
5744,34,11,228
6806,37,12,252
9263,35,9,240
9988,39,13,272
6155,19,6,204
9015,42,14,230
4353,28,11,277
6773,31,8,253
4521,31,7,211
7129,29,8,218
5213,39,13,241
9612,19,6,229
5951,41,11,229
5371,27,9,236
4321,36,11,243
9857,35,6,236
9994,34,12,264
9705,31,11,248
8091,36,12,243
4117,35,8,225
7448,36,8,227
4866,16,12,216
7376,40,10,263
7004,38,7,255
7483,28,11,230
5874,30,16,213
9645,32,8,207
7811,37,9,176
7208,36,6,241
9919,33,13,266
5696,30,8,248
4037,29,4,225
6403,35,12,215
8619,38,6,214
6016,41,9,251
6801,43,17,228
9475,29,7,225
7446,26,6,222
4338,35,10,210
9623,28,8,204
9636,23,7,228
6106,15,12,234
4944,34,16,233
9280,8,7,270
5603,33,9,234
9747,51,7,269
6170,41,8,242
9599,34,10,238
8084,27,11,253
9781,19,5,222
9209,13,8,249
6616,43,17,235
7579,35,4,236
8323,32,10,235
4434,23,14,245
7460,21,12,205
4959,22,10,260
8514,26,7,219
9057,20,8,240
8724,34,11,228
6219,43,15,245
5170,34,7,264
9093,28,12,254
9659,35,8,222
5068,28,9,243
8522,26,11,218
5443,17,11,219
6102,33,9,242
9027,33,5,234
9498,29,13,236
7559,49,6,213
6549,31,12,242
4661,28,7,230
6747,27,9,255
4352,45,5,228
8845,36,12,232
5628,38,9,217
5027,28,9,261
8825,15,12,242
7445,26,13,210
8746,45,7,274
5315,34,9,222
9103,28,11,205
8678,21,7,253
4939,20,13,241
9447,28,14,251
4170,26,10,237
9564,23,10,244
8140,29,9,230
9796,28,8,222
5354,36,12,216
8629,35,9,234
6252,39,12,214
6306,18,12,255
9242,42,4,267
4359,37,2,242
9702,36,5,226
6840,23,11,250
5388,31,3,238
7650,29,13,229
7179,34,7,234
7173,35,9,242
4856,39,13,253
6489,39,7,223
9144,33,5,233
4969,34,10,205
4592,31,12,259
5354,20,16,230
5377,38,11,267
8014,24,10,266
5727,33,5,236
7728,19,13,247
4357,34,15,216
4000,30,11,237
6091,31,13,221
8844,42,11,209
6326,29,11,250
6722,28,11,215
8788,27,9,246
6872,41,12,223
5101,17,17,218
8494,55,12,193
8870,35,9,230
4208,34,12,214
4434,19,5,243
8647,38,9,242
8278,28,9,236
4548,25,6,233
9758,29,6,257
6454,33,13,236
9583,41,13,224
9323,37,9,242
5400,25,8,221
8533,30,6,260
6319,29,10,234
9928,32,7,256
6778,28,8,246
4439,34,9,249
5246,41,8,195
9442,30,10,224
7994,31,14,223
4638,25,7,274
7325,33,6,225
9785,11,8,212
9905,34,9,249
7466,43,13,260
5503,23,11,272
6967,31,7,200
5409,20,8,200
8776,32,10,215
6869,26,6,241
9821,14,11,239
8969,36,15,227
5880,35,11,230
9495,27,12,234
8757,21,6,230
5063,40,7,236
9606,34,5,216
8530,35,6,219
7666,31,8,220
4482,24,12,184
6448,40,10,242
9612,38,6,266
6690,38,7,247
9072,24,12,246
6184,17,11,228
7752,35,13,236
8376,33,12,241
6563,9,9,243
6739,26,11,213
9931,31,9,237
9842,25,7,276
8227,25,5,270
7645,35,11,239
7000,26,12,222
5753,25,11,255
5895,38,15,240
4383,34,11,211
5570,28,16,257
9639,12,9,275
6782,26,11,246
8651,32,5,210
6289,29,18,218
9127,39,7,261
5034,35,12,255
9579,10,12,269
6956,30,7,246
7372,41,14,257
9253,36,15,224
6439,31,8,252
4283,24,5,227
5904,35,12,232
5941,29,14,213
9610,31,14,231
7280,35,8,253
7857,29,3,234
8413,33,12,187
7388,50,11,242
9583,33,11,241
8354,34,7,225
7636,25,7,248
6653,34,9,263
8376,24,9,253
5993,38,14,216
5867,35,13,262
6105,34,11,214
6073,40,12,220
6159,34,9,238
6830,41,8,235
7993,32,10,230
5500,38,11,242
8578,28,9,238
7737,25,11,210
9856,22,9,222
5985,30,10,216
7634,35,10,225
8225,30,11,238
6552,29,7,271
6159,38,13,225
4707,28,21,254
9942,28,13,218
5157,25,9,239
7702,44,13,253
6124,18,10,210
7949,44,15,213
8818,34,10,225
4231,24,12,223
5931,32,12,233
4607,29,9,272
9209,31,8,204
8213,32,12,199
7557,29,14,223
9183,27,6,230
5769,23,13,259
7470,24,9,213
5664,34,8,230
8710,29,8,232
5011,29,2,218
8252,29,11,214
5867,32,10,229
4759,23,12,253
5416,41,10,260
9591,39,9,254
9283,20,11,241
9282,20,13,215
5933,43,6,263
8068,37,10,246
5882,21,8,209
7452,31,10,251
7608,31,14,234
6030,32,12,255
7513,43,14,220
6004,30,5,281
8978,38,11,243
5568,34,11,222
6060,18,10,207
8955,29,13,233
9985,25,9,230
6216,33,8,226
9285,37,11,236
5828,21,17,213
8758,40,8,245
6000,33,13,216
8285,33,9,212
7720,37,10,193
9073,41,13,215
9119,15,10,232
6611,40,8,244
5434,29,6,209
6683,49,8,205
6068,30,6,200
5958,31,10,232
6302,24,18,252
7735,16,10,230
4419,44,8,193
8904,32,9,287
9724,21,10,230
6828,43,6,237
5738,14,8,196
8761,38,4,213
5004,36,16,231
7146,30,10,236
9375,41,9,251
5975,41,6,214
4335,16,8,222
6345,37,7,222
5673,35,11,272
5389,30,17,256
4849,46,11,232
8059,19,7,224
6593,33,17,211
6663,21,8,239
9220,28,13,227
6332,34,6,239
6292,27,9,225
9370,40,7,222
8915,37,11,244
7015,38,10,202
7219,20,16,211
5968,24,1,237
9210,28,11,211
7185,21,10,249
8869,41,11,218
7362,30,12,221
6677,42,10,224
5202,40,11,249
8662,45,4,232
5025,45,6,227
9040,29,11,253
8871,32,9,239
5043,35,10,252
9954,45,14,242
6591,43,8,214
8941,29,12,240
9927,31,11,224
5471,32,7,241
4552,32,13,216
8266,30,8,260
6017,31,14,221
7163,32,11,212
9985,26,13,244
4297,21,12,243
8332,24,14,267
9293,34,6,233
8352,39,9,265
6627,24,9,219
8985,41,6,243
8703,52,12,236
5327,38,10,238
6518,32,16,249
8642,30,13,233
7703,34,8,225
4352,37,7,239
7644,36,11,227
9446,41,6,193
9632,24,8,223
9856,46,9,253
9025,36,11,219
4991,33,11,219
7817,28,12,218
6054,43,12,218
5032,26,8,233
4353,36,12,241
4789,38,14,255
4579,45,12,243
9616,20,10,225
8576,26,9,226
6326,44,6,219
4061,41,10,224
8594,39,11,250
4505,15,12,206
5763,49,10,244
5572,30,10,239
6643,35,9,218
8875,25,10,227
8589,23,10,254
9969,26,7,211
8496,29,7,248
4883,33,11,270
5655,27,11,230
7659,28,15,250
6583,34,8,249
9239,39,8,254
8956,28,3,204
8332,30,14,230
4980,25,9,243
7607,43,9,242
7424,22,7,243
4774,32,9,246
9324,37,7,202
9628,41,5,216
7266,42,12,218
9810,28,15,217
8400,36,14,270
5359,26,9,240
5477,42,12,252
8587,31,12,278
4357,34,12,231
6177,39,13,226
9090,29,11,236
7161,19,14,246
4092,25,7,250
5569,25,9,237
9971,18,8,231
9683,36,8,264
7736,34,11,288
9788,36,12,198
4420,37,11,230
9713,27,9,237
9152,34,4,215
6046,24,9,255
6283,25,17,276
9359,39,7,218
9516,24,14,246
4842,20,10,233
8805,30,14,262
5523,28,5,215
5755,44,12,226
8080,23,10,234
8049,45,12,263
4306,31,12,286
4522,36,12,228
6801,16,8,226
9296,39,9,235
8293,36,10,200
6129,33,12,230
9510,21,15,231
5527,26,12,211
7450,25,9,230
8082,37,13,219
7540,45,15,210
5743,44,6,240
4910,26,11,234
8651,27,8,239
5543,30,9,256
5549,28,4,204
7169,33,9,247
4466,33,8,243
5172,35,6,245
4854,33,11,245
9613,39,16,233
9530,35,13,186
4790,23,11,218
6128,37,14,290
7816,27,5,266
7557,20,11,236
6129,34,8,158
6419,27,9,258
4806,29,7,223
4977,42,4,278
9068,33,10,220
6180,35,8,246
5718,33,8,225
5088,31,10,238
7747,23,3,232
4395,37,14,261
8661,48,11,215
8633,39,3,254
7929,44,8,214
9429,29,3,226
8570,36,7,255
6270,31,7,243
6328,31,12,237
8073,25,12,288
5571,48,11,232
9937,26,4,225
9388,28,10,228
6324,22,7,240
4924,29,15,252
6971,16,9,236
8657,15,8,198
6233,24,8,246
7526,31,11,223
8144,19,8,241
8436,54,13,227
5873,14,11,233
6507,27,6,226
7607,48,11,273
9514,23,9,194
8560,14,3,223
7277,31,9,264
7734,42,8,261
9508,33,11,210
9578,40,10,259
6104,25,7,231
6589,29,13,214
9384,25,4,211
5870,29,7,222
6087,45,11,247
4568,32,14,233
8993,31,13,222
4250,29,9,240
8155,45,10,223
5289,48,19,234
6976,20,9,205
8581,5,11,233
4845,26,11,215
5493,38,9,233
6606,38,11,248
5703,30,6,208
8903,34,11,245
6784,25,11,205
6017,35,4,246
5437,29,11,253
6922,30,14,240
4304,22,13,245
5044,22,8,214
4017,22,11,225
5340,39,14,200
4690,40,7,221
5131,33,16,218
9659,29,9,245
7043,41,8,249
6269,24,8,201
5263,33,14,229
5988,47,6,213
7205,34,12,234
9208,37,14,236
8101,36,12,221
7484,41,12,275
4523,26,6,220
5252,34,15,264
5868,28,13,208
6330,29,8,218
6864,39,7,257
4794,23,12,240
4068,33,15,240
4046,28,11,224
8207,25,9,191
9615,24,7,214
8455,29,11,244
9593,21,10,263
8892,30,10,219
7903,27,11,258
4085,34,8,248
8635,33,7,210
7643,38,11,231
4758,37,8,236
6658,28,11,194
5993,33,11,247
7902,31,8,226
4742,38,13,254
4358,33,10,262
9655,20,13,221
7855,32,9,251
9225,24,9,223
4240,29,8,247
5748,35,8,232
7152,39,10,223
7662,15,11,231
6583,28,12,222
9097,24,8,200
8535,30,11,230
7010,23,11,240
6578,52,11,235
9532,30,8,255
9828,31,12,217
5443,21,8,250
4022,23,11,229
6857,40,16,236
5092,31,5,232
5771,49,8,218
5970,20,9,244
7306,29,9,264
6728,36,8,213
7344,27,11,263
8684,40,9,259
6874,34,10,256
7170,34,11,248
9124,27,7,237
4991,37,11,250
4988,26,11,227
4200,36,8,237
5285,30,11,263
4631,28,13,261
6662,26,7,220
9093,33,4,207
8809,33,12,252
9457,35,13,242
9485,39,11,233
9754,27,13,242
5695,39,13,221
6154,34,9,213
5648,35,10,256
7042,32,10,223
9724,12,8,269
5693,26,0,221
5148,17,8,210
5764,35,9,221
8263,42,10,215
7498,29,13,231
6198,17,11,236
4864,31,8,276
9064,46,14,228
4683,40,15,200
5688,21,8,265
9687,31,6,234
8661,26,11,234
8089,29,9,215
4549,34,10,243
4119,26,13,274
4870,31,12,231
4412,46,8,268
5513,34,17,253
7092,37,15,224
7386,24,13,186
8771,34,13,208
8193,33,6,238
8167,23,11,238
8436,38,5,254
4485,31,15,241
8735,43,9,202
8388,36,5,224
9049,30,7,232
8628,37,7,245
5951,24,8,212
4153,24,12,252
6436,16,9,253
8777,33,7,218
6495,32,16,241
6695,27,12,245
6028,41,12,231
7770,36,9,216
8251,35,6,264
8737,27,6,261
7836,39,7,257
7305,36,3,243
7211,35,5,227
6857,35,8,237
8426,38,15,217
4059,20,11,211
6344,17,8,236
7023,23,3,254
8064,35,12,287
4904,28,11,249
5196,33,7,232
7302,30,14,220
8908,29,11,201
8659,49,10,208
5468,30,15,197
6971,21,5,230
5076,36,11,216
6625,27,10,224
8905,35,12,220
4332,36,8,242
7498,23,9,244
4191,28,12,231
6846,24,14,247
4672,38,7,241
8331,31,11,227
8266,28,11,241
8014,40,11,221
9461,37,8,183
7055,20,10,218
5494,19,16,237
5114,29,9,230
8107,25,11,240
8615,37,8,234
9235,25,13,230
7602,30,10,253
5633,23,15,225
7176,32,5,214
9980,34,9,259
4627,35,6,229
9062,33,4,253
4214,44,8,233
5922,21,9,259
5739,15,10,270
5758,33,9,319
4296,30,4,220
4891,40,13,251
9387,29,11,261
9421,35,11,186
8917,14,14,258
7620,28,11,232
4355,20,10,286
9416,43,7,206
4575,32,9,242
5465,30,8,260
7419,21,10,224
6286,18,13,232
4450,25,5,243
4659,45,10,202
4027,41,14,229
8315,33,10,235
4747,36,10,250
4858,27,13,237
7913,41,12,222
4803,40,13,220
7488,36,12,272
9897,32,8,266
4013,26,10,240
9889,25,15,194
8544,22,11,196
6778,30,11,251
4609,29,14,196
7746,23,14,223
6461,44,13,244
5121,20,8,221
8795,21,9,240
7703,38,9,213
7179,31,11,219
9957,22,11,235
4844,40,14,247
4530,43,12,235
6630,23,13,224
9606,34,10,243
4708,35,12,236
8577,22,11,247
4376,35,11,249
4787,31,15,258
4598,34,14,245
5697,44,13,271
5037,28,14,210
7803,39,13,252
6444,31,13,252
9180,38,9,250
5684,22,9,224
7303,19,12,234
9998,30,10,214
6107,42,7,257
6293,34,8,268
7971,43,11,226
6371,29,9,233
5140,20,5,198
9162,32,14,234
7602,29,15,268
8572,31,9,224
5632,40,6,203
8516,27,12,223
9905,36,15,249
9879,34,12,235
5618,26,16,206
5489,30,7,216
9631,31,11,225
6333,27,11,228
9993,16,13,231
5346,28,10,250
7764,24,11,196
5227,26,10,236
8472,37,11,220
5589,30,11,254
5194,34,10,254
9607,33,12,226
7388,43,10,254
9810,38,11,221
6635,35,12,222
6146,26,14,223
4621,36,9,251
4299,31,12,245
4138,41,10,242
5049,33,9,250
8499,44,7,199
7598,45,9,222
9689,21,13,265
7539,36,10,238
8075,29,8,238
8902,32,10,259
6757,37,9,258
5035,27,10,241
4469,32,10,244
7786,32,7,232
5559,27,10,233
7747,49,8,223
9528,21,7,252
9285,37,10,241
6800,45,9,253
8822,54,8,221
8410,27,9,232
4359,34,10,223
9103,31,14,244
8214,48,14,228
6728,31,6,243
7593,22,14,237
8347,29,15,257
4120,30,15,245
6461,35,8,310
4268,25,8,238
5749,6,7,239
4453,38,9,247
8351,40,7,195
8758,16,11,219
6106,32,15,248
7067,44,12,212
9879,45,14,224
6965,40,7,223
5555,33,13,223
4565,35,8,205
6459,18,11,234
6593,47,4,215
8996,26,13,262
4129,38,10,257
4778,42,8,195
9259,27,4,222
6170,35,11,216
9926,36,8,254
4218,33,13,244
4370,35,11,232
6482,34,13,230
7132,28,14,185
8366,29,10,245
6371,23,5,240
6022,30,10,230
7307,38,4,231
4273,34,6,241
6225,40,11,238
8709,26,12,254
8301,39,10,219
